,model_name,rmse,created_at,params,train_size,features,git_commit
0,LGBM optuna 3,0.7627530718140677,2020-06-23 01:50:00,"{'feature_fraction': 0.6512526704353567, 'bagging_fraction': 0.47735995292737504, 'n_estimators': 3500, 'learning_rate': 0.16189215145369146, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'min_child_samples': 21, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
1,LGBM optuna 7,0.7439860205148966,2020-06-23 04:35:00,"{'feature_fraction': 0.6821061735133316, 'bagging_fraction': 0.5066537623239828, 'n_estimators': 3000, 'learning_rate': 0.2920798055090827, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
2,LGBM optuna 7,0.7349235072545525,2020-06-23 04:46:00,"{'feature_fraction': 0.41728873959496815, 'bagging_fraction': 0.6900232677195605, 'n_estimators': 1000, 'learning_rate': 0.14023274662047266, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
3,LGBM optuna 7,0.7348275336630654,2020-06-23 07:49:00,"{'feature_fraction': 0.42728203822923294, 'bagging_fraction': 0.5979836485078854, 'n_estimators': 9000, 'learning_rate': 0.1473448615989589, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
4,LGBM optuna 7,0.7339303639197953,2020-06-23 06:59:00,"{'feature_fraction': 0.43693196904014475, 'bagging_fraction': 0.518564590874722, 'n_estimators': 1000, 'learning_rate': 0.15572275067492272, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
5,LGBM optuna 7,0.7329796945043551,2020-06-23 05:04:00,"{'feature_fraction': 0.3856247796873732, 'bagging_fraction': 0.5429634134250412, 'n_estimators': 1000, 'learning_rate': 0.20603654793640558, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
6,LGBM optuna 7,0.7328942102503545,2020-06-23 08:05:00,"{'feature_fraction': 0.44336178263714987, 'bagging_fraction': 0.5648709687108134, 'n_estimators': 9000, 'learning_rate': 0.086919732213186, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
7,LGBM optuna 3,0.7326460694714834,2020-06-23 02:40:00,"{'feature_fraction': 0.6943280394298569, 'bagging_fraction': 0.6205930785820242, 'n_estimators': 3500, 'learning_rate': 0.0821353597420235, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'min_child_samples': 51, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
8,LGBM optuna 7,0.7323967054976166,2020-06-23 05:49:00,"{'feature_fraction': 0.35358400511036503, 'bagging_fraction': 0.6022610871965136, 'n_estimators': 9000, 'learning_rate': 0.12822010924912455, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
9,LGBM optuna 3,0.7321232278103549,2020-06-23 01:46:00,"{'feature_fraction': 0.6125587683809605, 'bagging_fraction': 0.44327239679464875, 'n_estimators': 3500, 'learning_rate': 0.20721672997631027, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'min_child_samples': 26, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
