,model_name,rmse,created_at,params,train_size,features,git_commit
0,LGBM optuna 8,0.713491318301618,2020-06-23 21:06:00,"{'feature_fraction': 0.5752972789307047, 'bagging_fraction': 0.4848664343868924, 'n_estimators': 6000, 'learning_rate': 0.024700905572418032, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1802}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
1,LGBM optuna 8,0.7143795568832014,2020-06-23 17:10:00,"{'feature_fraction': 0.5193550710468287, 'bagging_fraction': 0.4274966191330193, 'n_estimators': 3000, 'learning_rate': 0.04946945649175587, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 938}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
2,LGBM optuna 8,0.7153445168687563,2020-06-23 22:14:00,"{'feature_fraction': 0.6677663316444471, 'bagging_fraction': 0.4697179019876825, 'n_estimators': 6000, 'learning_rate': 0.045004528688796966, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 730}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
3,LGBM optuna 8,0.7157175212648323,2020-06-23 22:27:00,"{'feature_fraction': 0.4646502878905898, 'bagging_fraction': 0.41959372398328765, 'n_estimators': 6000, 'learning_rate': 0.04959814699056894, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1413}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
4,LGBM optuna 8,0.7159914161695569,2020-06-23 21:58:00,"{'feature_fraction': 0.5807482039438329, 'bagging_fraction': 0.4671344936738397, 'n_estimators': 6000, 'learning_rate': 0.04815843243596678, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 499}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
5,LGBM optuna 8,0.7160206546963651,2020-06-23 21:20:00,"{'feature_fraction': 0.5364971597902675, 'bagging_fraction': 0.42099640124136123, 'n_estimators': 6000, 'learning_rate': 0.04686766668512385, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 974}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
6,LGBM optuna 8,0.7161330382655383,2020-06-23 20:16:00,"{'feature_fraction': 0.598415519765395, 'bagging_fraction': 0.5346156107060286, 'n_estimators': 6000, 'learning_rate': 0.022702664317049315, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1307}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
7,LGBM_diff,0.7165457791202128,2020-06-23 15:26:00,"{'feature_fraction': 0.4827903694720314, 'bagging_fraction': 0.572260424947954, 'n_estimators': 9000, 'learning_rate': 0.12602389742331246, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",2000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8, cum_mse",991406d
8,LGBM optuna 8,0.7166128436897127,2020-06-23 23:03:00,"{'feature_fraction': 0.6998070921530508, 'bagging_fraction': 0.48865360914203915, 'n_estimators': 6000, 'learning_rate': 0.04240837808095086, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 915}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
9,LGBM optuna 8,0.7167549773159023,2020-06-23 23:10:00,"{'feature_fraction': 0.5617473161979408, 'bagging_fraction': 0.41344525658943854, 'n_estimators': 9000, 'learning_rate': 0.04957323347119702, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 2624}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
