iter	RMSE
0	3.905016299
1	3.746042568
2	3.603230199
3	3.467228102
4	3.347888071
5	3.238296032
6	3.138093914
7	3.047442663
8	2.962789488
9	2.885026784
10	2.813133433
11	2.748017857
12	2.693362109
13	2.642428893
14	2.596861186
15	2.554385306
16	2.517021268
17	2.482575326
18	2.452107547
19	2.424721557
20	2.400057448
21	2.378456461
22	2.357332936
23	2.339156823
24	2.322770298
25	2.306886621
26	2.294105508
27	2.281663452
28	2.269387961
29	2.259484989
30	2.249460904
31	2.241780561
32	2.231764172
33	2.222618852
34	2.214433624
35	2.208808576
36	2.201289762
37	2.19503884
38	2.185780672
39	2.179327355
40	2.17390927
41	2.169184249
42	2.162833026
43	2.157193015
44	2.153349846
45	2.148454492
46	2.144550996
47	2.140672784
48	2.137582871
49	2.132756138
50	2.128418692
51	2.1253101
52	2.124112122
53	2.120453836
54	2.118387046
55	2.114129956
56	2.110701301
57	2.106919417
58	2.104138085
59	2.100180368
60	2.098885416
61	2.097177017
62	2.093945513
63	2.09197524
64	2.090346225
65	2.087332336
66	2.084898161
67	2.082123048
68	2.079239676
69	2.077401669
70	2.076196377
71	2.073979629
72	2.071687677
73	2.069281638
74	2.067736329
75	2.066518593
76	2.064582902
77	2.064170027
78	2.060377059
79	2.05912595
80	2.057697969
81	2.056892023
82	2.055349116
83	2.054415052
84	2.052010383
85	2.051611369
86	2.050374917
87	2.049005174
88	2.044230197
89	2.043849656
90	2.042808175
91	2.038646096
92	2.036193375
93	2.034773827
94	2.032117295
95	2.030273712
96	2.029343302
97	2.028819994
98	2.024714226
99	2.02234427
100	2.022101685
101	2.021822236
102	2.020873718
103	2.020546089
104	2.020332428
105	2.020126075
106	2.019562597
107	2.016239004
108	2.015695017
109	2.01525367
110	2.01467267
111	2.014492157
112	2.01431769
113	2.014025833
114	2.012878637
115	2.010270467
116	2.01000692
117	2.008363416
118	2.008210403
119	2.006880124
120	2.004811774
121	2.003958649
122	2.001293003
123	2.001066851
124	2.000268335
125	1.998446741
126	1.996987723
127	1.995435722
128	1.995058815
129	1.9935957
130	1.993533442
131	1.992183656
132	1.990493358
133	1.989838301
134	1.989681052
135	1.989623031
136	1.989140152
137	1.987727837
138	1.987230983
139	1.986657526
140	1.985730353
141	1.984948933
142	1.984897488
143	1.984638458
144	1.984131794
145	1.982982416
146	1.982632788
147	1.982588439
148	1.982152785
149	1.981778742
150	1.981105566
151	1.980047797
152	1.978363369
153	1.978056277
154	1.977851039
155	1.977709652
156	1.977408949
157	1.976871418
158	1.976836887
159	1.975630821
160	1.975358447
161	1.973571229
162	1.973538624
163	1.972330284
164	1.971561888
165	1.97124527
166	1.971214462
167	1.969525956
168	1.969372937
169	1.96806756
170	1.967946598
171	1.967183559
172	1.965616866
173	1.965224951
174	1.964846929
175	1.963509058
176	1.96197641
177	1.960996914
178	1.960970104
179	1.959468727
180	1.959043696
181	1.958942169
182	1.958389741
183	1.95741562
184	1.957017144
185	1.955690506
186	1.95376214
187	1.953257819
188	1.951939776
189	1.950616724
190	1.9502393
191	1.949330958
192	1.948558209
193	1.948468676
194	1.947559778
195	1.944455255
196	1.943686847
197	1.942285126
198	1.939730799
199	1.939009572
200	1.938158744
201	1.93723652
202	1.936347956
203	1.935920004
204	1.935833712
205	1.935041863
206	1.933702432
207	1.93295754
208	1.932554006
209	1.931279753
210	1.931195276
211	1.930458188
212	1.930075976
213	1.929364598
214	1.929283161
215	1.928595976
216	1.927419961
217	1.926731456
218	1.926613153
219	1.925967409
220	1.925891674
221	1.925780332
222	1.923125586
223	1.923017665
224	1.920988929
225	1.920201883
226	1.919095434
227	1.918449724
228	1.917826606
229	1.917414259
230	1.916812686
231	1.916215861
232	1.915643186
233	1.914636749
234	1.914539064
235	1.913363872
236	1.913297143
237	1.912724766
238	1.912634577
239	1.912090765
240	1.911517577
241	1.911429603
242	1.910904001
243	1.908988619
244	1.908059303
245	1.906236977
246	1.904642316
247	1.903752575
248	1.902873327
249	1.902381681
250	1.902296508
251	1.902237857
252	1.90174623
253	1.90168969
254	1.90134024
255	1.900864808
256	1.899922067
257	1.899461725
258	1.899017092
259	1.898230082
260	1.897799849
261	1.896408877
262	1.895671912
263	1.893893858
264	1.892570689
265	1.892517595
266	1.892053296
267	1.889696482
268	1.888888406
269	1.888238723
270	1.887147787
271	1.886726954
272	1.886320517
273	1.886269608
274	1.885877032
275	1.885497887
276	1.885133548
277	1.884010179
278	1.883014428
279	1.882965082
280	1.881213343
281	1.880597484
282	1.879871898
283	1.879824861
284	1.879148513
285	1.878516387
286	1.878161273
287	1.877569144
288	1.877502118
289	1.877159829
290	1.876829391
291	1.876508629
292	1.876200545
293	1.875903097
294	1.875245712
295	1.87397484
296	1.873063172
297	1.871876396
298	1.871477547
299	1.870839234
300	1.869047774
301	1.868759458
302	1.868377009
303	1.867416269
304	1.866056803
305	1.865424285
306	1.864569905
307	1.863487765
308	1.863219606
309	1.862108506
310	1.86027926
311	1.860022913
312	1.859775346
313	1.858793415
314	1.857542132
315	1.856536751
316	1.856295174
317	1.855949444
318	1.854965869
319	1.85416372
320	1.853618895
321	1.852551573
322	1.851715912
323	1.851491143
324	1.851272812
325	1.851063094
326	1.850859277
327	1.85053503
328	1.849771388
329	1.84908181
330	1.848885651
331	1.848059882
332	1.847266656
333	1.846510781
334	1.845954086
335	1.845764075
336	1.845107477
337	1.844928894
338	1.843722618
339	1.843013002
340	1.84186206
341	1.840765175
342	1.839980737
343	1.8397966
344	1.839137625
345	1.838424708
346	1.838246505
347	1.83667884
348	1.835832184
349	1.834676257
350	1.834504084
351	1.833775813
352	1.833062823
353	1.832228363
354	1.831579116
355	1.831002016
356	1.830318844
357	1.829649995
358	1.829301294
359	1.828001447
360	1.827281461
361	1.826503583
362	1.826336939
363	1.825558386
364	1.825245948
365	1.824678323
366	1.824516984
367	1.824349563
368	1.823744988
369	1.823593961
370	1.823448113
371	1.823307267
372	1.823051414
373	1.822504726
374	1.822356613
375	1.822224398
376	1.822096716
377	1.821434502
378	1.821160323
379	1.818256499
380	1.817973883
381	1.81774258
382	1.816462275
383	1.815864413
384	1.815607612
385	1.814933832
386	1.814183149
387	1.813613938
388	1.813429078
389	1.813254001
390	1.813004455
391	1.812373985
392	1.812252682
393	1.81181834
394	1.811110497
395	1.809417554
396	1.808728762
397	1.807611587
398	1.806874489
399	1.80642655
400	1.805797297
401	1.805758943
402	1.804741535
403	1.804624779
404	1.804507869
405	1.803300672
406	1.801891492
407	1.801145798
408	1.799856823
409	1.798731184
410	1.798066193
411	1.79790911
412	1.79727005
413	1.797032821
414	1.796369439
415	1.796218524
416	1.795733075
417	1.795415514
418	1.794827579
419	1.794361151
420	1.793367928
421	1.793260796
422	1.792109597
423	1.791385771
424	1.790486886
425	1.790386732
426	1.7901098
427	1.789846888
428	1.788353034
429	1.787951588
430	1.787187003
431	1.786620585
432	1.785704892
433	1.785178287
434	1.784681326
435	1.784645366
436	1.7839284
437	1.783511175
438	1.782967135
439	1.782289643
440	1.782036915
441	1.781200803
442	1.780113983
443	1.780063141
444	1.779975121
445	1.779792023
446	1.779742555
447	1.778042162
448	1.777784808
449	1.777660211
450	1.77757885
451	1.777478068
452	1.777029068
453	1.776861924
454	1.776369208
455	1.77612707
456	1.776009363
457	1.775272277
458	1.773704269
459	1.773231051
460	1.772690313
461	1.772261103
462	1.771156832
463	1.770430625
464	1.770203274
465	1.769796945
466	1.769724775
467	1.769615389
468	1.769227361
469	1.768574986
470	1.767536557
471	1.76744622
472	1.766936755
473	1.766814604
474	1.766549388
475	1.766461527
476	1.765638075
477	1.763772689
478	1.76290619
479	1.762821177
480	1.761880862
481	1.761455059
482	1.760969599
483	1.760300388
484	1.759922134
485	1.759598867
486	1.758148376
487	1.758015614
488	1.757687295
489	1.757561089
490	1.757478424
491	1.757398688
492	1.757229715
493	1.756452591
494	1.756290017
495	1.756133769
496	1.75593631
497	1.755743421
498	1.754413593
499	1.75392583
500	1.752877682
501	1.7526892
502	1.752659667
503	1.751887994
504	1.751535669
505	1.751335475
506	1.75106188
507	1.751033593
508	1.751005862
509	1.749933923
510	1.749023483
511	1.748000692
512	1.746975534
513	1.746322961
514	1.746296372
515	1.746270708
516	1.745053213
517	1.744175335
518	1.743536595
519	1.742415575
520	1.742200807
521	1.74147176
522	1.740732558
523	1.740366455
524	1.738602991
525	1.737605999
526	1.736926275
527	1.73674218
528	1.73656048
529	1.736535455
530	1.73637226
531	1.73570848
532	1.735366645
533	1.734634003
534	1.734285962
535	1.732600352
536	1.730767269
537	1.73074343
538	1.729348568
539	1.729198462
540	1.729043837
541	1.72879521
542	1.727999345
543	1.727087137
544	1.726912682
545	1.726701237
546	1.72619477
547	1.725943562
548	1.725872946
549	1.725806609
550	1.725051045
551	1.724948665
552	1.72480057
553	1.724434656
554	1.724412998
555	1.723733749
556	1.723492012
557	1.723347039
558	1.723162423
559	1.722124123
560	1.721988494
561	1.720911458
562	1.720664047
563	1.72058981
564	1.720098633
565	1.719754839
566	1.719735328
567	1.719716389
568	1.719093411
569	1.71836471
570	1.718321324
571	1.717606145
572	1.717390955
573	1.717233847
574	1.716843847
575	1.716623462
576	1.716417654
577	1.71637747
578	1.716011187
579	1.715880003
580	1.715300714
581	1.713937014
582	1.713493473
583	1.712897583
584	1.712708982
585	1.712389721
586	1.712043112
587	1.711717758
588	1.711534833
589	1.711475299
590	1.711324448
591	1.711285509
592	1.710972511
593	1.71061142
594	1.710252139
595	1.709908426
596	1.709850525
597	1.70950686
598	1.709482231
599	1.709426451
600	1.709372608
601	1.709320632
602	1.709038
603	1.708710999
604	1.708387495
605	1.707148076
606	1.707097898
607	1.706806713
608	1.706299751
609	1.705478481
610	1.704393837
611	1.704345565
612	1.703982466
613	1.703539712
614	1.703002692
615	1.701999446
616	1.701919216
617	1.701744866
618	1.701441355
619	1.701395079
620	1.701106038
621	1.701028949
622	1.700717433
623	1.699797266
624	1.699473345
625	1.699126125
626	1.698858602
627	1.697754687
628	1.697431539
629	1.696627725
630	1.695939189
631	1.695441157
632	1.694896439
633	1.694262534
634	1.693993935
635	1.693739841
636	1.693353642
637	1.692931022
638	1.692858945
639	1.692594706
640	1.692319999
641	1.691820561
642	1.691589718
643	1.691063262
644	1.690988743
645	1.690332168
646	1.690215662
647	1.689194002
648	1.688940908
649	1.688665173
650	1.687813016
651	1.686865651
652	1.686377011
653	1.685893073
654	1.685844696
655	1.684784669
656	1.684198204
657	1.683963195
658	1.683506058
659	1.683290104
660	1.682551705
661	1.682329324
662	1.681790619
663	1.681656111
664	1.681066163
665	1.680741752
666	1.680067775
667	1.680040153
668	1.679477921
669	1.679209096
670	1.679072591
671	1.678979344
672	1.678601395
673	1.678251274
674	1.677239541
675	1.676378555
676	1.675363554
677	1.674901972
678	1.674481221
679	1.67426746
680	1.674087152
681	1.673399008
682	1.672853352
683	1.671464068
684	1.671117378
685	1.670949134
686	1.669290729
687	1.667815538
688	1.667519525
689	1.66673253
690	1.665879061
691	1.665622588
692	1.665318602
693	1.665165831
694	1.66453315
695	1.664381176
696	1.664128886
697	1.663720234
698	1.663119105
699	1.663072829
700	1.662616461
701	1.662136711
702	1.661497433
703	1.660717818
704	1.659899146
705	1.658563889
706	1.658373595
707	1.658347092
708	1.657869181
709	1.657844657
710	1.657418003
711	1.65697521
712	1.6562672
713	1.65605908
714	1.65588769
715	1.65558896
716	1.655022322
717	1.654792483
718	1.654572272
719	1.654082966
720	1.653820218
721	1.653273926
722	1.652435732
723	1.652373307
