iter	Passed	Remaining
0	8	8164
1	15	7890
2	21	7037
3	27	6763
4	31	6308
5	35	5939
6	40	5692
7	45	5633
8	49	5500
9	56	5604
10	62	5630
11	68	5663
12	74	5618
13	78	5563
14	84	5522
15	91	5605
16	95	5545
17	101	5517
18	105	5459
19	111	5444
20	115	5398
21	120	5359
22	125	5340
23	130	5324
24	135	5283
25	139	5241
26	144	5202
27	148	5165
28	158	5298
29	163	5296
30	171	5355
31	177	5355
32	181	5327
33	188	5362
34	195	5386
35	200	5365
36	208	5428
37	215	5464
38	222	5485
39	230	5520
40	237	5565
41	243	5549
42	249	5549
43	255	5553
44	261	5539
45	266	5521
46	274	5568
47	288	5716
48	297	5775
49	308	5858
50	313	5842
51	319	5819
52	322	5759
53	327	5735
54	332	5705
55	337	5682
56	342	5660
57	347	5644
58	351	5612
59	356	5587
60	360	5555
61	370	5600
62	380	5653
63	389	5693
64	396	5704
65	401	5675
66	410	5709
67	418	5732
68	422	5705
69	429	5705
70	435	5698
71	441	5690
72	448	5701
73	454	5685
74	458	5650
75	470	5721
76	475	5704
77	480	5681
78	485	5659
79	490	5635
80	494	5610
81	498	5579
82	502	5551
83	507	5536
84	512	5521
85	517	5500
86	522	5479
87	527	5462
88	532	5449
89	542	5480
90	548	5475
91	553	5458
92	558	5442
93	562	5425
94	573	5461
95	580	5462
96	585	5450
97	589	5423
98	594	5411
99	600	5400
100	606	5395
101	610	5375
102	616	5370
103	620	5346
104	623	5313
105	626	5286
106	632	5276
107	639	5282
108	646	5288
109	650	5266
110	655	5249
111	660	5234
112	663	5206
113	668	5194
114	674	5188
115	678	5171
116	682	5147
117	685	5123
118	687	5092
119	692	5080
120	697	5065
121	702	5056
122	707	5044
123	711	5023
124	716	5016
125	721	5005
126	726	4993
127	731	4981
128	734	4959
129	737	4936
130	740	4909
131	744	4894
132	750	4889
133	754	4877
134	758	4858
135	760	4834
136	765	4821
137	774	4835
138	779	4827
139	783	4813
140	788	4803
141	793	4794
142	796	4771
143	801	4765
144	810	4776
145	821	4807
146	828	4807
147	831	4787
148	838	4788
149	842	4776
150	849	4774
151	853	4762
152	859	4757
153	864	4749
154	869	4739
155	873	4725
156	878	4716
157	882	4704
158	885	4685
159	890	4675
160	896	4674
161	902	4666
162	904	4643
163	908	4631
164	913	4622
165	918	4614
166	920	4590
167	925	4583
168	929	4571
169	933	4559
170	938	4548
171	943	4540
172	947	4527
173	951	4518
174	955	4502
175	960	4496
176	965	4487
177	971	4485
178	976	4478
179	984	4482
180	989	4477
181	994	4470
182	1001	4470
183	1009	4475
184	1013	4463
185	1020	4465
186	1024	4455
187	1030	4451
188	1035	4442
189	1043	4447
190	1046	4432
191	1051	4424
192	1056	4415
193	1061	4408
194	1066	4404
195	1071	4397
196	1076	4389
197	1081	4378
198	1085	4370
199	1091	4364
200	1097	4362
201	1102	4355
202	1106	4343
203	1111	4336
204	1115	4326
205	1120	4319
206	1124	4309
207	1129	4301
208	1132	4287
209	1136	4275
210	1141	4267
211	1146	4262
212	1149	4248
213	1153	4235
214	1156	4224
215	1160	4211
216	1163	4198
217	1168	4193
218	1174	4189
219	1178	4179
220	1182	4167
221	1185	4155
222	1193	4158
223	1197	4146
224	1201	4139
225	1207	4135
226	1211	4124
227	1218	4125
228	1227	4133
229	1235	4135
230	1244	4141
231	1253	4148
232	1261	4154
233	1271	4161
234	1280	4168
235	1289	4174
236	1296	4172
237	1305	4179
238	1312	4178
239	1319	4179
240	1328	4183
241	1335	4183
242	1338	4170
243	1343	4163
244	1348	4154
245	1353	4148
246	1358	4140
247	1363	4135
248	1371	4137
249	1375	4127
250	1380	4119
251	1386	4116
252	1394	4118
253	1398	4106
254	1404	4104
255	1408	4092
256	1412	4082
257	1416	4073
258	1420	4064
259	1428	4067
260	1432	4056
261	1437	4050
262	1441	4038
263	1449	4041
264	1457	4042
265	1461	4031
266	1465	4022
267	1470	4015
268	1475	4008
269	1479	4000
270	1484	3993
271	1487	3982
272	1492	3975
273	1495	3963
274	1499	3952
275	1503	3944
276	1507	3933
277	1513	3930
278	1519	3927
279	1524	3919
280	1529	3912
281	1532	3902
282	1536	3891
283	1539	3882
284	1544	3873
285	1547	3863
286	1550	3853
287	1554	3842
288	1558	3833
289	1563	3827
290	1567	3819
291	1575	3820
292	1580	3812
293	1583	3802
294	1587	3794
295	1594	3793
296	1598	3784
297	1603	3776
298	1609	3773
299	1614	3767
300	1621	3764
301	1624	3754
302	1630	3750
303	1635	3743
304	1641	3740
305	1651	3744
306	1661	3750
307	1668	3749
308	1673	3741
309	1681	3743
310	1687	3739
311	1695	3737
312	1700	3731
313	1705	3726
314	1711	3722
315	1718	3720
316	1722	3711
317	1728	3706
318	1733	3701
319	1739	3695
320	1748	3698
321	1753	3692
322	1763	3695
323	1770	3694
324	1777	3692
325	1782	3685
326	1786	3675
327	1791	3669
328	1795	3661
329	1800	3656
330	1805	3649
331	1813	3648
332	1818	3642
333	1823	3635
334	1837	3646
335	1848	3652
336	1856	3652
337	1866	3656
338	1876	3658
339	1885	3660
340	1892	3656
341	1895	3647
342	1901	3641
343	1904	3632
344	1908	3623
345	1913	3616
346	1917	3607
347	1922	3602
348	1927	3595
349	1933	3590
350	1937	3582
351	1941	3574
352	1946	3568
353	1952	3562
354	1955	3553
355	1960	3547
356	1964	3538
357	1974	3541
358	1981	3538
359	1990	3539
360	1998	3537
361	2004	3533
362	2008	3525
363	2013	3518
364	2020	3515
365	2026	3509
366	2030	3502
367	2036	3498
368	2042	3492
369	2045	3483
370	2049	3475
371	2053	3466
372	2057	3458
373	2064	3454
374	2071	3452
375	2076	3446
376	2080	3437
377	2085	3431
378	2088	3422
379	2093	3416
380	2100	3411
381	2103	3403
382	2107	3395
383	2111	3387
384	2115	3379
385	2121	3373
386	2126	3368
387	2132	3363
388	2136	3355
389	2139	3345
390	2142	3337
391	2147	3331
392	2152	3324
393	2155	3316
394	2161	3310
395	2166	3304
396	2173	3300
397	2179	3296
398	2187	3294
399	2191	3286
400	2197	3282
401	2202	3276
402	2207	3270
403	2212	3264
404	2219	3261
405	2225	3256
406	2231	3250
407	2235	3244
408	2241	3239
409	2247	3233
410	2253	3228
411	2258	3222
412	2265	3219
413	2269	3212
414	2274	3206
415	2279	3200
416	2285	3194
417	2290	3188
418	2294	3181
419	2298	3173
420	2302	3167
421	2308	3161
422	2313	3155
